1, 78.19
2, 83.1
3, 84.42
4, 86.05
5, 86.82
6, 85.77
7, 88.09
8, 88.38
9, 88.07
10, 88.5
11, 88.81
12, 89.06
13, 88.31
14, 88.94
15, 88.84
16, 88.87
17, 86.55
18, 89.39
19, 89.11
20, 88.99
21, 89.63
22, 89.23
23, 89.82
24, 88.75
25, 87.65
26, 88.4
27, 88.65
28, 89.08
29, 89.76
30, 88.15
31, 89.66
32, 90.36
33, 89.82
34, 90.21
35, 89.86
36, 89.45
37, 89.86
38, 89.59
39, 89.03
40, 90.19
41, 90.32
42, 90.24
43, 88.4
44, 89.39
45, 89.6
46, 90.17
47, 89.84
48, 89.9
49, 89.52
50, 90.4
51, 89.7
52, 89.64
53, 90.18
54, 90.29
55, 90.35
56, 90.29
57, 90.27
58, 90.9
59, 90.09
60, 90.59
